"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"230","BIH","2014","BA","Bosnia and Herzegovina",2014-01-01,"annual",0.25777,477.8,11164.2057322716,3566002
"231","BLR","2005","BY","Belarus",2005-01-01,"annual",0.67817,1291.6,9984.19255747154,9663915
"232","BLR","2006","BY","Belarus",2006-01-01,"annual",0.66038,1159.5,11389.55165644,9604924
"233","BLR","2007","BY","Belarus",2007-01-01,"annual",0.96169,1293.3,12756.6346295883,9560953
"234","BLR","2008","BY","Belarus",2008-01-01,"annual",0.74028,1037.8,14383.16738581,9527985
"235","BLR","2009","BY","Belarus",2009-01-01,"annual",0.64477,1171.7,14553.7953661949,9506765
"236","BLR","2010","BY","Belarus",2010-01-01,"annual",0.69551,1056.6,15906.7561959696,9490583
"237","BLR","2011","BY","Belarus",2011-01-01,"annual",0.70097,1099.4,17166.6956434719,9473172
"238","BLR","2012","BY","Belarus",2012-01-01,"annual",0.6675,1015.2,17801.9186985095,9464495
"239","BLR","2013","BY","Belarus",2013-01-01,"annual",0.6737,1040.6,18271.7542904885,9465997
"240","BLR","2014","BY","Belarus",2014-01-01,"annual",0.52354,1053,18865.7314863398,9474511
"241","BLZ","2005","BZ","Belize",2005-01-01,"annual",NA,5.8,7008.80574641699,283277
"242","BLZ","2006","BZ","Belize",2006-01-01,"annual",NA,4.9,7361.07413753312,290747
"243","BLZ","2007","BZ","Belize",2007-01-01,"annual",NA,2.4,7444.30252641197,298407
"244","BLZ","2008","BZ","Belize",2008-01-01,"annual",NA,3.6,7636.84135733543,306165
"245","BLZ","2009","BZ","Belize",2009-01-01,"annual",NA,9.3,7558.04785083857,313929
"246","BLZ","2010","BZ","Belize",2010-01-01,"annual",NA,11,7715.95031849724,321608
"247","BLZ","2011","BZ","Belize",2011-01-01,"annual",NA,3.4,7855.69828660257,329192
"248","BLZ","2012","BZ","Belize",2012-01-01,"annual",NA,9,8121.15294169971,336701
"249","BLZ","2013","BZ","Belize",2013-01-01,"annual",NA,9.6,8179.04988331871,344181
"250","BLZ","2014","BZ","Belize",2014-01-01,"annual",NA,5.2,8416.60512066964,351694
"251","BMU","2005","BM","Bermuda",2005-01-01,"annual",NA,NA,49877.2841082861,64154
"252","BMU","2006","BM","Bermuda",2006-01-01,"annual",NA,NA,53949.4237061828,64523
"253","BMU","2007","BM","Bermuda",2007-01-01,"annual",0.18397,NA,56640.9889952538,64888
"254","BMU","2008","BM","Bermuda",2008-01-01,"annual",0.19247,NA,58288.6120944144,65273
"255","BMU","2009","BM","Bermuda",2009-01-01,"annual",0.20903,NA,55320.1617108278,65636
"256","BMU","2010","BM","Bermuda",2010-01-01,"annual",0.20846,NA,55254.2141192067,65124
"257","BMU","2011","BM","Bermuda",2011-01-01,"annual",0.2979,NA,54984.5103947777,64564
"258","BMU","2012","BM","Bermuda",2012-01-01,"annual",0.269,NA,53097.6962878821,64798
"259","BMU","2013","BM","Bermuda",2013-01-01,"annual",0.22771,NA,52436.056406239,65001
"260","BMU","2014","BM","Bermuda",2014-01-01,"annual",0.21659,NA,NA,65139
"261","BOL","2005","BO","Bolivia",2005-01-01,"annual",NA,58.4,4180.31823540514,9125409
"262","BOL","2006","BO","Bolivia",2006-01-01,"annual",NA,68.8,4438.62465045884,9283334
"263","BOL","2007","BO","Bolivia",2007-01-01,"annual",NA,82,4684.94245010811,9441444
